,gross_return,net_return,turnover,transaction_cost,SPY
2022-04-30,9.642408332818967,9.496846681416017,2133040.382504441,1.015585137848255,3.8374730153832513
2022-05-31,9.874304901916094,9.724055437553009,2399670.430317496,1.015712085990486,3.8461350539580064
2022-06-30,8.787230388599786,8.652306567795165,2699629.234107183,1.0158390500012346,3.5289807201115355
2022-07-31,9.604143324347737,9.456086256750194,2883694.8637053994,1.015908311754644,3.8539559026895
2022-08-31,9.622961726987802,9.473969822536594,3080310.422594404,1.0159775782304454,3.696707623994438
2022-09-30,8.883178677881558,8.74445655648106,3465349.2254187046,1.0161045754277243,3.354962267408056
2022-10-31,10.092394149905681,9.933695535495385,3898517.8785960427,1.0162315884996527,3.627638089153997
2022-11-30,10.690874990126819,10.521975338195448,4208627.255302547,1.0163124251032833,3.829303468297927
2022-12-31,10.121207672209366,9.960351358908758,4591229.733057323,1.016404817141929,3.608627737920541
2023-01-31,10.719143945678848,10.54833189031732,4799921.993650838,1.01645101736089,3.8355653597842876
2023-02-28,10.594256554426199,10.424475669468947,5236278.538528186,1.016543421998832,3.7391289955487856
2023-03-31,10.579560356714266,10.409304229612214,5593297.529791472,1.0166127317776048,3.8777671472378126
2023-04-30,10.701897814779132,10.528490044014461,6228899.521813229,1.0167282559516704,3.9397144283305505
2023-05-31,10.481258273287045,10.309989923270036,7078294.911151395,1.0168669007138456,3.9579012642936635
2023-06-30,11.490840585639393,11.30166931081712,8043516.944490221,1.0170055643821247,4.214371899226483
2023-07-31,11.81158592420651,11.615593150084479,9140360.164193433,1.017144246959086,4.352321641278824
2023-08-31,11.621417908922377,11.426996698532877,10386772.913856173,1.0172829484473076,4.281588000462842
2023-09-30,11.081022992216804,10.894343828760084,11567088.017703464,1.0173985487823582,4.0784930778958195
2023-10-31,10.869211960034296,10.684863129308022,12881529.837897038,1.0175141622538106,3.9899551507712285
2023-11-30,12.151471364606076,11.944038981170765,14491721.067634167,1.0176413515240923,4.3544123335566445
2023-12-31,13.009736163445435,12.786566900194558,15809150.255600909,1.0177338643742309,4.553214731456965
